YEAR,ID,TYPE,ARCHITECTURE,TECHNOLOGY,TITLE,ABSTRACT,AUTHORS,COMMENTS,Csamp [pF],AREA [mm^2],SNDR_lf [dB],fin_hf [Hz],SNDR_hf [dB],SNR [dB],DR [dB],-THD [dB],SFDR [dB],SNDR_plot [dB],P [W],fs [Hz],OSR,fsnyq [Hz],P/fsnyq [pJ],FOMW_lf [fJ/conv-step],FOMW_hf [fJ/conv-step],FOMS_lf [dB],FOMS_hf [dB],FOMW_hf/fsnyq,"FOMS,hf+10log(fsnyq)",source
2021,10.1,OS,SDCT,0.028,A 116?W 104.4dB-DR 100.6dB-SNDR CT ?ä Audio ADC Using Tri-Level Current-Steering DAC with Gate-Leakage Compensated Off-Transistor-Based Bias Noise Filter ,"In Paper 10.1, Samsung Electronics presents a 116?W audio-band CT ?ä ADC using a tri-level current-steering DAC with a gate-leakage-compensated noise filter that achieves 104.4dB dynamic range in 24kHz bandwidth resulting in a 187.5dB Schreier FoM.","C. Lo, J. Lee, Y. Lim, Y. Yoon, H. Hwang, J. Lee, M. Choi, M. Lee, S. Oh, J. Lee", ,,0.07,,24000,100.6,,104.4,,,100.6,1.16E-04,6.14E+06,128,4.80E+04,2.42E+03,,27.6,,183.8,5.75E-04,230.57,ISSCC
2021,10.2,OS,SDCT,0.065,A 139?W 104.8dB-DR 24kHz-BW CT?äM with Chopped AC-Coupled OTA-Stacking and FIR DACs,"In Paper 10.2, the University of California San Diego reports a CT ?äM for audio applications with chopped Accoupled OTA-stacking and FIR DACs that achieves 104.8dB dynamic range in a 24kHz bandwidth and consumes 139?W resulting in a 187.2dB Schreier FoM.","S. Mondal, O. Ghadami, D. A. Hall", ,,0.39,,24000,100.9,102,104.8,,113.7,100.9,1.39E-04,7.20.E+06,150,4.80.E+04,2.90E+03,,31.9,,183.3,6.65E-04,230.08,ISSCC
2021,10.3,OS,SDCT,0.028,A 100MHz-BW 68dB-SNDR Tuning-Free Hybrid-Loop DSM with an Interleaved Bandpass Noise-Shaping SAR Quantizer,"In Paper 10.3, University of Michigan describes a tuning-free hybrid-loop ?ä modulator with an interleaved bandpass noise-shaping SAR quantizer that achieves 68dB SNDR in a 100MHz bandwidth.","L. Jie, H-W. Chen, B. Zheng, M. P. Flynn", ,,0.088,,10000000,67.5,68.2,69,,82,67.5,1.34E-02,1.60.E+09,8,2.00E+08,6.70E+01,,34.6,,166.2,1.73E-07,249.24,ISSCC
2021,10.4,OS,SDCT,0.04,A 3.7mW 12.5MHz 81dB-SNDR 4th-Order CTDSM with Single-OTA and 2nd-Order NS-SAR,"In Paper 10.4, University of Texas at Austin presents a 4th-order CT ?ä modulator with single-OTA and 2nd-order NS-SAR that achieves 81dB-SNDR in 12.5MHz bandwidth and consumes 3.7mW.","W. Shi, J. Liu, A. Mukherjee, X. Yang, X. Tang, L. Shen, W. Zhao, N. Sun", ,,0.057,,3000000,80.9,,82.2,,89.3,80.9,3.70E-03,5.00.E+08,20,2.50E+07,1.48E+02,,16.3,,176.2,6.53E-07,250.17,ISSCC
2021,10.5,NQ,"Pipe, SDCT",0.007,A 12b 600MS/s Pipelined SAR and 2?-Interleaved Incremental Delta-Sigma ADC with Source-Follower-Based Residue-Transfer Scheme in 7nm FinFET,"In Paper 10.5, Samsung Electronics reports a 12b 600MS/s pipelined SAR and 2?-interleaved Incremental ?ä ADC in 7nm FinFET.","S. Baek, I. Jang, M. Choi, H. Roh, W. Lim, Y. Cho, J. Shin", ,,0.037,,300000000,55.3,,,,67.8,55.3,1.30E-02,6.00.E+08,1,6.00E+08,2.17E+01,,45.6,,158.9,7.59E-08,246.71,ISSCC
2021,13.4,NQ,SAR,0.04,A 1GS/s 6-to-8b 0.5mW/Qubit Cryo-CMOS SAR ADC for Quantum Computing in 40nm CMOS,"In Paper 13.4, Delft University of Technology presents an A/D conversion applied to measurements of qubits after readout. The proposed 1GS/s ADC achieves 36.2dB SNDR at 4K, supporting multiple qubit readout at less than 0.5mW/qubit.","Gerd Kiene, Alessandro Catania, Ramon Overwater, Paolo Bruschi, Edoardo Charbon, Masoud Babaie, Fabio Sebastiano","Cryo ADC, 300K data",,0.045,,450000000,33.4,,,,48.4,33.4,7.00E-04,9.00.E+08,1,9.00E+08,7.78E-01,,20.4,,151.5,2.26E-08,241.02,ISSCC
2021,27.1,OS,SAR,0.04,A 250kHz-BW 93dB-SNDR 4th-Order Noise-Shaping SAR Using Capacitor Stacking and Dynamic Buffering,"In Paper 27.1, Tsinghua University presents a 4th-order noise-shaping SAR that achieves 93dB SNDR over 250kHz bandwidth with 340?W power, leading to a Schreier FoM of 182dB. This NS-SAR has low complexity and is PVTrobust.","J. Liu, D. Li, Y. Zhong, X. Tang, N. Sun", ,,0.094,,0.05,93.3,94,95,,104.4,93.3,3.40E-04,5.00.E+06,10,5.00E+05,6.80E+02,,18,,182,3.60E-05,238.95,ISSCC
2021,27.2,NQ,SAR,0.18,14.1-ENOB 184.9dB-FoM Capacitor-Array-Assisted Cascaded Charge-Injection SAR ADC,"In Paper 27.2, the University of Michigan introduces a Nyquist-rate capacitor-array-assisted cascaded charge-injection SAR ADC with 17b resolution. It achieves 14.14b ENOB and a 184.9dB Schreier FoM.","K. Choo, H. An, D. Sylvester, D. Blaauw", ,,0.348,,3000,86.7,,,,,86.7,4.68E-07,6.00.E+03,1,6.00E+03,7.80E+01,,4.4,,184.7,7.39E-04,222.51,ISSCC
2021,27.3,OS,SAR,0.065,A 13.8-ENOB 0.4pF-CIN 3rd-Order Noise-Shaping SAR in a Single-Amplifier EF-CIFF Structure with Fully Dynamic Hardware-Reusing kT/C Noise Cancelation ,"In Paper 27.3, Georgia Institute of Technology describes a 3rd-order NS-SAR ADC featuring an EF-CIFF hybrid structure with kT/C noise cancelling. Fabricated in 65nm, the prototype achieves 13.8b ENOB consuming 119uW, leading to a 182dB Schreier FoM.","T-H. Wang, R. Wu, V. Gupta, S. Li", ,0.4,0.04,,100000,84.8,85.1,86.5,,,84.8,1.19E-04,1.00.E+07,8,1.25E+06,9.52E+01,,6.7,,182,5.36E-06,242.97,ISSCC
2021,27.4,NQ,"Pipe, SAR",0.04,A 0.4-to-40MS/s 75.7dB-SNDR Fully Dynamic Event-Driven Pipelined ADC with 3-Stage Cascoded Floating Inverter Amplifier,"In Paper 27.4, the University of Texas at Austin presents a pipelined SAR ADC equipped with a 3-stage fully dynamic floating inverter amplifier that achieves consistent 75.7dB SNDR and linearly scaled power from 0.4MS/s to 40MS/s.","X. Tang, X. Yang, J. Liu, W. Shi, D. Z. Pan, N. Sun", ,4,0.056,77.6,18000000,75.7,,79.5,,81.4,75.7,8.21E-04,4.00.E+07,1,4.00E+07,2.05E+01,3.3,4.1,181.5,179.6,1.03E-07,255.59,ISSCC
2021,27.5,OS,"SAR, TI",0.022,An 80MHz-BW 640MS/s Time-Interleaved Passive Noise-Shaping SAR ADC in 22nm FDSOI Process,"In Paper 27.5, MediaTek introduces a fully passive, time-interleaved noise-shaping SAR ADC in 22nm FDSOI. This ADC achieves a peak SNDR of 66.3dB over 80MHz bandwidth at 640MS/s and consumes 2.56mW.","C-Y. Lin, Y-Z. Lin, C-H. Tsai, C-H. Lu", ,,0.006,,12000000,66.3,67.4,70.2,,,66.3,2.56E-03,6.40.E+08,4,1.60E+08,1.60E+01,,9.5,,171.3,5.91E-08,253.31,ISSCC
2021,27.6,OS,"Pipe, SAR",0.028,A 25MHz-BW 75dB-SNDR Inherent Gain Error Tolerance Noise-Shaping SAR-Assisted Pipeline ADC with Background Offset Calibration ,"In Paper 27.6, the University of Macau describes a noise-shaping SAR-assisted pipeline ADC. With a partial interleaving first stage and 4b DWA, it runs at 400MHz and achieves 75dB SNDR with 25MHz bandwidth.","H. Zhang, Y. Zhu, C-H. Chan, R. Martins", ,,0.027,,2000000,75,75.3,76.3,,92.1,75,1.26E-03,4.00.E+08,8,5.00E+07,2.52E+01,,5.5,,178,1.10E-07,254.97,ISSCC
2021,27.7,OS,SAR,0.04,A 79dB-SNDR 167dB-FoM Bandpass ?ä ADC Combining N-Path Filter with Noise-Shaping SAR,"In Paper 27.7, Peking University and the University of Texas at Austin present an open-loop bandpass ?ä modulator that combines an N-path filter with a noise-shaping SAR ADC. This work achieves 78.7dB SNDR and a 167.1dB Schreier FoM.","L. Shen, Z. Gao, X. Yang, W. Shi, N. Sun","Bandpass, IF=56.3MHz",,0.19,,55600000,78.8,,79.8,,,78.8,5.04E-03,4.50.E+08,64,7.00E+06,7.20E+02,,101.1,,167.2,1.44E-05,235.67,ISSCC
2021,28.1,OS,VCO,0.065,A Distortion-Free VCO-Based Sensor-to-Digital Front-End Achieving 178.9dB FoM and 128dB SFDR with a Calibration-Free Differential Pulse-Code Modulation Technique,"In Paper 28.1, the University of California, San Diego presents a sensor interface front-end for wearable applications with 95dB dynamic range and 128dB linearity in 1.68?W in 65nm CMOS. The front-end is demonstrated through in-vivo recordings of ECG and EOG in the presence of motion and other artifacts.","Jiannan Huang, Patrick P. Mercier",AFE,,0.055,,500,94.2,,95.1,,128,94.2,1.68E-06,6.40.E+04,64,1.00E+03,1.68E+03,,40.1,,178.9,4.01E-02,208.94,ISSCC
2021,28.4,OS,VCO,0.065,A 400mVpp 92.3dB-SNDR 1kHz-BW 2nd-Order VCO-Based ExG-to-Digital Front-End Using a Multiphase Gated-Inverted Ring-Oscillator Quantizer,"In Paper 28.4, the University of California, San Diego introduces a VCO-based ?ä AFE for biopotential measurement, achieving 92.3dB SNDR in 1kHz, and enabling ECG signal recording in the presence of motion artifacts. The 65nm CMOS design uses an impedance booster to maintain >50Mê input impedance for dry electrode measurement, while consuming <5.8?W.","Corentin Pochet, Jiannan Huang, Patrick P. Mercier, Drew A. Hall",AFE,,0.075,,500,92.3,,92.3,,110.3,92.3,5.80E-06,2.00.E+05,100,2.00E+03,2.90E+03,,86.1,,174.7,4.30E-02,207.68,ISSCC
2021,28.7,OS,SDCT,0.18,A 0.00378mm2 Scalable Neural Recording Front-End for Fully Immersible Neural Probes Based on a Two-Step Incremental Delta-Sigma Converter with Extended Counting and Hardware Reuse,"In Paper 28.7, the University of Freiburg - IMTEK reveals a neural recording front-end for immersible probe designs based on a continuous-time gm-C incremental ?ä ADC design. The modular system enables a flexible number of recording sites and circuit sharing to achieve very low per-channel area (<0.0005mm2 total with electrode offset compensation) and power of <15?W per channel in 180nm CMOS.","Daniel Wendler, Daniel De Dorigo, Mohammad Amayreh, Alexander Bleitner, Maximilian Marx, Yiannos Manoli",AFE,,0.00462,,1000,57.5,,,,,57.5,1.49E-05,2.72.E+06,136,2.00E+04,7.47E+02,,1219.1,,145.8,6.10E-02,188.77,ISSCC
2021,28.8,OS,SDSC,0.13,Multi-Modal Peripheral Nerve Active Probe and Microstimulator with On-Chip Dual-Coil Power/Data Transmission and 64 2nd-Order Opamp-Less ?ä ADCs ,"In Paper 28.8, the University of Toronto introduces an SoC for peripheral nerve stimulation and recording. This 64-channel neural-recording system includes cuff imbalance compensation and per-channel ?ä ADC consuming 140nW in 130nm CMOS. The system demonstrates nerve stimulation and fascicle selectivity in vivo. ","Maged ElAnsary, Jianxiong Xu, Jos‚ Sales Filho, Gairik Dutta, Liam Long, Aly Shoukry, Camilo Tejeiro, Chenxi Tang, Enver Kilinc, Jaimin Joshi, Parisa Sabetian, Samantha Unger, Jos‚ Zariffa, Paul Yoo, Roman Genov",AFE,,0.01,,5000,49.9,,,,,49.9,1.40E-07,2.00.E+06,100,2.00E+04,7.00E+00,,27.3,,158.5,1.37E-03,201.47,ISSCC
1997,3.2,OS,SDCT,0.5,"1.2-v, 16-bit Audio A/d Converter With Suppressed Latch Error Noise","We have improved the noise-shaping signal flow in order to solve the latch error problem at low voltage supply and have fabricated a 1.2-V, 16-bit swing-suppression A/D converter for audio. The converter achieves S/(N+THD) of 91.5 dB, DR of 94.0 dB, and low power consumption of 6.5 mW.","Matsuya, Y.   Terada, J.  ", , ,,,20000,91.5,92,94,,,91.5,6.50E-03,6.14E+06,154,4.00E+04,1.63E+05,,5289.4,,156.4,1.32E-01,202.4,VLSI
1997,3.4,NQ,"Folding, TI",Bipolar,An 8-GSa/s 8-bit ADC System,"We report on an analog to digital converter (ADC) system with 8 bit resolution and a sample rate of 8 GSa/s. The system is composed of 2 thick-fh hybrid substrates, each holding a silicon bipolar ADC chip and a custom CMOS memory chip. Each ADC chip contains two differential track and hold circuits and two folding and interpolating 2 GSa/s flash digitizers. The custom memory chip accepts data at 2 GSa/s on each of two input ports, and stores the data in a 256 Kbit S U M . The ADC system uses time interleaving of 4 paths to reach 8 GSa/s and combines hardware dither with software calibration techniques to achieve 7.6 effective bits at low frequencies and 5.3 effective bits at 2 GHz input.","Ken Poulton, Knud L. Knudsen, John Kerley, James Kang, Jon Tani, Eldon Cornish and Michael VanGrouw",Software calibration, ,29.68,46.9,4000000000,24,,,,,24,1.25E+01,8.00E+09,1,8.00E+09,1.56E+03,8631.7,120228.9,132,109.1,1.50E-05,208.12,VLSI
1998,14.2,NQ,Pipe,0.6,"A 1.5 V, 10-bit, 14 MS/s CMOS pipeline analog-to-digital converter","A 1.5 V, 10-bit, 14.3 MS/s pipeline analog-to-digital converter was implemented in a 0.6 ?m CMOS technology. Emphasis was placed on observing device reliability constraints at low voltage. MOS switches were implemented without low-threshold devices by using a bootstrapping technique that does not subject the devices to large terminal voltages. The converter achieved a peak SNDR of 58.5 dB, maximum DNL of 0.51 LSB, maximum INL of 0.66 LSB and a power consumption of 36 mW ","Abo, A.M.   Gray, P.R.   ", , ,5.75,,7150000,58.5,,,,,58.5,3.60E-02,1.43E+07,1,1.43E+07,2.52E+03,,3661.7,,141.5,2.56E-04,213.03,VLSI
1998,14.3,NQ,"Two-step, Pipe",0.25 BiCMOS,A 2.5 V 100 MS/s 8 bit ADC using pre-linearization input buffer andlevel up DAC/subtractor,"This paper describes a 2.5 V 100 MS/s 8 bit subranging Analog-to-Digital Converter (ADC). To achieve such low voltage operation and high-speed conversion rate at the same time, a ?pre-linearization input buffer? and ?level up DAC/subtractor? have been newly developed. These circuits prevent voltage drops on the internal analog signal path and make the supply voltage reduction possible. The ADC also uses a simple encoder scheme ?noise immunity encoder? that is resistant to bubbling error for thermometer code ","Sugawara, M.   Yoshida, H.   Mitsuishi, M.   Nakamura, S.   Nakaigawa, S.   Kunisaki, Y.   Suzuki, H.   ", , ,3.3,,50000000,43.3,,,,,43.3,1.80E-01,1.00E+08,1,1.00E+08,1.80E+03,,15068.3,,127.7,1.51E-04,207.74,VLSI
1998,14.4,OS,SDCT,0.5 SiGe,A 4 GHz fourth-order SiGe HBT band pass ?ä modulator,"Test results for a fourth-order band pass (BP) ?ä modulator (?äM) are presented. The 0.5 ?m SiGe HBT design uses active LC resonators with Q enhancement and return-to-zero latches to drive the feedback DACs. The packaged circuit consumes 350 mW from a single 5 V supply when clocking at 4 GHz. Measured results indicate a maximum SNR of 53 dB, SFDR of 69 dB, and a dynamic range of 62 dB, all in a 4 MHz bandwidth ","Weinan Gao   Cherry, J.A.   Snelgrove, W.M.   ", , ,1.24,,4000000,,53,62,,69,53,3.50E-01,4.00E+09,500,8.00E+06,4.38E+04,,119873.4,,123.6,1.50E-02,192.61,VLSI
1999,8.2,NQ,Pipe,Bipolar,An 8 b 500 MS/s full Nyquist cascade A/D converter,"An 8 b 500 MS/s one-bit-per-stage cascade A/D converter (ADC) has been developed. We achieved 500 MHz one-clock conversion of all the cascade stages with a novel error suppression technique. The measured SNDR is 47 dB (7.6 effective bits) at a 100 kHz input, keeping more than 45 dB (7.2 effective bits) up to the Nyquist frequency. The power dissipation and the active area of the ADC core, including a 1.5 GHz bandwidth sample-and-hold amplifier, are 950 mW from a +2 V/-3.3 V supply and 5.5 mm2, respectively ","Irie, K.   Kusayanagi, N.   Kawachi, T.   Nishibu, T.   Matsumori, Y.  ", , ,5.5,,250000000,45,,,,,45,9.50E-01,5.00E+08,1,5.00E+08,1.90E+03,,13077.9,,129.2,2.62E-05,216.19,VLSI
1999,8.3,NQ,Flash,0.35,A 1 V 6 b 50 MHz current-interpolating CMOS ADC,"A current-interpolation technique is used to implement a 6 b 50 MHz ADC operable with a single battery cell as low as 0.9 V without charge pumping. The prototype chip, fabricated in a 0.35 ?m standard digital process, occupies an area of 2.4 mm?2 mm, and consumes 10 mW each in analog and digital supplies, respectively ","Bang-Sup Song   Myung-Jun Choe   Rakers, P.   Gillig, S.   ", , ,4.8,,25000000,33.5,,,,,33.5,2.00E-02,5.00E+07,1,5.00E+07,4.00E+02,,10349.1,,124.5,2.07E-04,201.46,VLSI
1999,8.4,NQ,"Pipe, Folding",0.5,An 8 b 100 MSample/s CMOS pipelined folding ADC,"When applied to folding ADCs, pipelining relieves the wide bandwidth requirement of the folding amplifier. A pipelined folding ADC prototyped using a 0.5 ?m CMOS process exhibits a DNL of ñ0.4 LSB and an INL of ñ1.3 LSB at 100 MSample/s. The chip occupies 1.4 mm?1.2 mm in active area and consumes 165 mW at 5 V ","Myung-Jun Choe   Bang-Sup Song   Bacrania, K.   ", , ,1.68,,50000000,42.3,46.5,,,,42.3,1.65E-01,1.00E+08,1,1.00E+08,1.65E+03,,15498.2,,127.1,1.55E-04,207.11,VLSI
2000,11.1,OS,SDSC,0.25,A 50-mW 14-bit 2.5-MS/s ä-? modulator in a 0.25 ?m digital CMOS technology,"A 5th-order single-loop ä-? modulator has been implemented in a 0.25 ?m digital CMOS process, where the supply voltage is only 2.5 V and the capacitor option is not available. A tri-level quantizer is used to improve loop stability. The sampling frequency of the modulator is 80 MHz and the oversampling ratio is 32. Measured over a 1 MHz signal bandwidth, dynamic range is 86 dB, peak SNR is 80 dB and peak SNDR is 78 dB. The modulator consumes only 50 mW ","Balmelli, P.   Qiuting Huang   Piazza, F.   ", , ,1.1,,1000000,78,80,,,,78,5.00E-02,8.00E+07,40,2.00E+06,2.50E+04,,3850.9,,151,1.93E-03,214.02,VLSI
2000,16.1,NQ,Pipe,0.6 BiCMOS,"A 12 b 105 Msample/s, 850 mW analog to digital converter","This analog-to-digital converter achieves a minimum sampling rate of 105 Msample/S at a total power dissipation of 850 mW while achieving 11.0 effective number of bits (SNR=68 dB) and an SFDR of >80 dB for sampling analog input frequencies up to 70 MHz. The converter uses a switched capacitor multi-bit per stage architecture and incorporates an on-chip differential input buffer, a dedicated track/hold amplifier and an internally compensated wideband differential reference amplifier. The converter is fabricated on a 0.6 ?m BiCMOS process ","Michalski, C. ",, ,,,52500000,,68,,,78,68,8.50E-01,1.05E+08,1,1.05E+08,8.10E+03,,3943.7,,145.9,3.76E-05,226.12,VLSI
2000,16.2,NQ,Folding,0.35,An 8-bit 125 MS/s CMOS folding ADC for Gigabit Ethernet LSI,"An 8-bit 125 MS/s CMOS folding ADC using an equalizing technique is presented, which reduces the settling time of the analog folding processor to obtain a higher sampling rate. The prototype chip, fabricated in a 0.35 ?m triple metal digital CMOS process, occupies an area of 0.8 mm2 and consumes 110 mW achieving 6.4 effective bits for a Nyquist input signal ",Kwangho Yoon   Jeongho Lee   Deog-Kyoon Jeong   Wonchan Kim   , , ,0.8,,62500000,40.2,,,,,40.2,1.10E-01,1.25E+08,1,1.25E+08,8.80E+02,,10526.7,,127.7,8.42E-05,208.71,VLSI
2001,19.2,NQ,Folding,0.18,An 8-bit 30 MS/s 18 mW ADC with 1.8 V single power supply,"This paper describes an 8-bit 30 MS/s 18 mW ADC (Analog-to-Digital Converter) with 1.8 V single power supply for battery powered systems. A folding and interpolation architecture with the auto-zeroed amplifiers is newly developed to achieve the low power consumption and the low power supply voltage. A pipelining technique is also introduced to realize that conversion rate with low power consumption. A test chip of the ADC is fabricated in a 0.18 ?m CMOS process. The experimental results at 30 MS/s shows DNL less than +/$0.5 LSB, INL less than +/- 1.0 LSB and SNDR more than 45 dB with 3 MHz input frequency ","Sigenobu, T.   Ito, M.   Miki, T.   ", , ,0.96,,15000000,45,,,,,45,1.80E-02,3.00E+07,1,3.00E+07,6.00E+02,,4129.9,,134.2,1.38E-04,208.98,VLSI
2001,19.3,NQ,Pipe,0.35,A 12-bit mismatch-shaped pipeline A/D converter,"This paper presents pipeline A/D converters with improved linearity. The linearity improvement is achieved through a combination of oversampling and mismatch shaping, which modulates the distortion energy out-of-band. A 77 dB SFDR is achieved at an oversampling ratio of 4 and a sampling rate of 51 Msample/s, which is a 12 dB improvement compared to a converter with no mismatch shaping. These results were obtained from a test chip fabricated in a 0.35 ?m CMOS process ","Shabra, A.   Hae-Seung Lee   ", , ,,,25500000,67,,,75,77,67,6.00E-01,5.10E+07,1,5.10E+07,1.18E+04,,6430.7,,143.3,1.26E-04,220.36,VLSI
2002,23.1,NQ,Flash,0.18,A 6bit 400Msps 70mW ADC using interpolated parallel scheme,"The design of a low power 6bit, 400Msps, 1.8V CMOS ADC is presented. This ADC is based on interpolated parallel architecture in which the transistor sizes are optimized to achieve the required linearity and simultaneously minimize the power consumption. When operated at 400Msps with 1.8/2.4V power supply the ADC dissipates 70mW. The ADC is fabricated in a 0.18/spl mu/m CMOS process. ","Ono, K.   Shimizu, H.   Ogawa, J.   Takeda, M.   Yano, M.   ", , ,0.2688,,200000000,31,35,,,,31,7.00E-02,4.00E+08,1,4.00E+08,1.75E+02,,6038,,125.6,1.51E-05,211.58,VLSI
2002,23.2,NQ,Folding,0.12,A 1.2 V 10-b 100-MSamples/s A/D converter in 0.12/spl mu/m CMOS,"A CMOS analog-to-digital converter (ADC) utilizing folding, averaging and distributed interpolation is described. Fabricated in a digital 0.12 /spl mu/m CMOS process, the ADC occupies 0.32 mm/sup 2/ while dissipating 140 mW from a single 1.2 V supply. The experimental results show that the converter achieves 55dB SNR at sampling frequencies up to 100MHz. ","Blum, A.S.   Engl, B.H.   Eichfeld, H.P.   Hagelauer, R.   Abidi, A.A.   ", , ,0.32,,50000000,54.9,,,,,54.9,1.80E-01,1.00E+08,1,1.00E+08,1.80E+03,,3955.3,,139.4,3.96E-05,219.35,VLSI
2003,6.1,NQ,Pipe,0.18,A 0.9 V 9 mW 1MSPS digitally calibrated ADC with 75 dB SFDR,"A low-voltage two-stage algorithmic ADC incorporating the Opamp-Reset Switching Technique (ORST) is presented. The low-voltage digital CMOS process compatible operation is achieved without the clock boosting/bootstrapping or switched-opamp. The ADC employs a highly linear input sampling circuit at the front-end, and the digital output is calibrated using a radix-based scheme. The prototype was fabricated in a 0.18-/spl mu/m CMOS technology and the active die area is 1.2 mm/spl times/1.2 mm. The calibrated ADC demonstrates 75 dB SFDR at 0.9 V and 80 dB SFDR at 1.2 V. The total power consumption of the ADC is 9 mW at the clock frequency of 7 MHz (1MSPS).",Dong-Young Chang; Gil-Cho Ahn; Un-Ku Moon;,Calibration, ,1.44,,500000,55,,,,75,55,9.00E-03,1.00E+06,1,1.00E+06,9.00E+03,,19587.4,,132.4,1.96E-02,192.45,VLSI
2003,6.2,OS,SDSC,0.35,"A 1.8 V, 1 MS/s, 85 dB SNR 2+2 mash /spl Sigma//spl Delta/ modulator with /spl plusmn/0.9 V reference voltage","A 1.8 V, 1 MS/s, 85 dB SNR 2+2 mash /spl Sigma//spl Delta/ modulator with /spl plusmn/0.9 V reference voltage is realized by using the swing reduction structure. This structure limits the output swing of all the integrators within half the reference voltage. Thus, low voltage and high speed operation is possible with even high reference voltage without degrading the performance of the modulator. The circuit is fabricated in CMOS 0.35 /spl mu/m process with chip size of 2.5/spl times/2.5 mm/sup 2/.","Kye-Shin Leeÿÿ Maloberti, F.ÿÿ", , ,6.25,,500000,,85.7,87,,,85.7,1.50E-01,1.00E+06,1,1.00E+06,1.50E+05,,9520.8,,150.9,9.52E-03,210.93,VLSI
2003,6.3,OS,SDCT,0.25,A Fourth Order Continuous-Time Complex Sigma-Delta ADC for Low-IF GSM and EDGE Receivers,"A low-power fourth order continuous-time complex /spl Sigma//spl Delta/ ADC has been designed and fabricated for low-IF (LIF) GSM and EDGE receivers in a 0.25 /spl mu/m CMOS technology. This ADC has a bandwidth of 270 kHz centered around-100 kHz. The dynamic range (DNR) is 82 dB at a sampling rate of 13 MHz even though the digital decimation filter and other blocks are active on the chip. The power consumption is 4.6 mW at 2 V supply. To our knowledge this ADC has the best performance, which has been reported so far with a complex /spl Sigma//spl Delta/ ADC for LIF mode GSM and EDGE receivers. ","Farzad Esfahani, Philipp Basedau, Roland Ryter, Rolf Becker", , ,0.3894,,270000,78.4,,82,,,78.4,4.60E-03,1.30E+07,24,5.40E+05,8.52E+03,,1253.1,,156.1,2.32E-03,213.41,VLSI
2004,6.1,NQ,Cyclic,0.13,A calibration-free 3V 16b 500kS/s 6mW 0.5mm/sup 2/ ADC with 0.13 /spl mu/m CMOS,"A calibration-free 3V 6mW 16-bit 500kS/s cyclic ADC with an active die area of 0.5mm/sup 2/ is implemented in a 0.13 /spl mu/m CMOS. The proposed converter adopts a 2.5-bit/stage cyclic architecture and capacitor layout scheme to achieve improved matching accuracy, the DNL and INL of /spl plusmn/0.90 LSB and /spl plusmn/6.1 LSB, respectively. ",Hee-Cheol Choi   Seung-Bin You   Ho-Young Lee   Ho-Jin Park   Jae-Whui Kim   , , ,0.5,,250000,77.4,,,90.2,,77.4,6.00E-03,5.00E+05,1,5.00E+05,1.20E+04,,1980.6,,153.6,3.96E-03,210.59,VLSI
2004,6.2,OS,SDSC,0.18,A third-order /spl Sigma//spl Delta/ modulator in 0.18 /spl mu/m CMOS with calibrated mixed-mode integrators,"A third-order EA modulator employing mixed-mode integrators has been designed and implemented in 0.18um CMOS process. Because the use of mixed-mode integrators allows a 12dB improvement in the dynamic range over conventional third-order architectures, the modulator can be driven with lower sampling frequency to achieve the same dynamic range. The modulator covers the dynamic range requirements of GSM and WCDMA applications with sampling frequencies of only 3.2MHz and 40MHz, respectively. The circuit occupies 0.7mm/sup 2/ silicon area. ",Jae Hoon Shim   Beomsup Kim   ,GSM mode, ,0.7,,200000,,,76,,,76,4.00E-03,3.20E+06,8,4.00E+05,1.00E+04,,1939.2,,153,4.85E-03,209.01,VLSI
2004,6.2,OS,SDSC,0.18,A third-order /spl Sigma//spl Delta/ modulator in 0.18 /spl mu/m CMOS with calibrated mixed-mode integrators,"A third-order EA modulator employing mixed-mode integrators has been designed and implemented in 0.18um CMOS process. Because the use of mixed-mode integrators allows a 12dB improvement in the dynamic range over conventional third-order architectures, the modulator can be driven with lower sampling frequency to achieve the same dynamic range. The modulator covers the dynamic range requirements of GSM and WCDMA applications with sampling frequencies of only 3.2MHz and 40MHz, respectively. The circuit occupies 0.7mm/sup 2/ silicon area. ",Jae Hoon Shim   Beomsup Kim   ,WCDMA mode, ,0.7,,5000000,,,55,,,55,4.00E-03,4.00E+07,4,1.00E+07,4.00E+02,,870.6,,146,8.71E-05,215.97,VLSI
2004,6.3,OS,SDCT,0.13,A 12 bit Continuous-Time /spl Sigma//spl Delta/ modulator with 400MHz clock and low jitter sensitivity in 0.13 /spl mu/m CMOS,A wide bandwidth Continuous-Time /spl Sigma//spl Delta/ lowpass ADC with a 4-bit internal quantizer is presented. The converter is implemented in a pure digital 0.13 /spl mu/m CMOS. It achieves 76dB Dynamic Range over 12MHz signal bandwidth tolerating up to 20ps RMS clock jitter. Operated at 400MHz the power consumption is 70mW from a 1.5V supply. The ADC has been designed to be tolerant to excess-loop delay and clock jitter. The 4/sup th/-order loop-filter is based on OpAmp-RC structure. ,"Paton, S.   Di Giandomenic, A.   Hernandez, L.   Wiesbauer, A.   Potscher, T.   Clara, M.   ", , ,,,12000000,61,64,76,,,61,7.00E-02,4.00E+08,17,2.40E+07,2.92E+03,,3181.2,,143.3,1.33E-04,217.14,VLSI
